# ----------------------------------------
# Pageviews
# Account: NIRAS websites
# Property: NIRAS.dk GA4
# ----------------------------------------
# 
# All Users
# Start date: 20240921
# End date: 20250921
Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Engagement rate
/medarbejdere/,76044,9938,7.651841416784062,112.72157375729523,112799,0.8506871035940803
/,68506,26031,2.631708347739234,40.415158849064575,175195,0.7895600298284862
/karriere/ledige-stillinger/,24697,11557,2.136973262957515,31.2223760491477,56105,0.7789704271631982
/karriere/,17247,10148,1.699546708711076,14.603961371698857,35065,0.8887843558900611
/soeg/,10487,4448,2.3576888489208634,25.10341726618705,26467,0.9507515190278222
/nyheder/,6677,6177,1.080945442771572,3.217257568398899,22577,0.10628553379658875
/projekter/,4859,1968,2.4690040650406506,61.08028455284553,8888,0.8930105427567356
/sektorer/byggeri/,3887,2333,1.6660951564509217,37.18216888126875,8650,0.9173333333333333
/baeredygtighed/,3734,2596,1.438366718027735,28.187211093990754,8232,0.8941362916006339
/kontorer/danmark/,3357,2439,1.3763837638376384,18.257072570725708,8853,0.854389721627409
/om-niras/,3200,2018,1.5857284440039643,37.47720515361744,7747,0.8783832551425478
/arrangementer/,3085,1167,2.6435304198800345,63.59125964010283,7475,0.8735992828328104
/nyheder/se-forskellen-paa-klimabelastningen-fra-rejser-med-tog-fly-og-bil/,2913,2300,1.2665217391304349,50.57739130434783,10193,0.5353251318101934
/kontorer/,2575,1915,1.3446475195822454,8.373890339425587,5748,0.9365221278497988
/greensition/,2148,1482,1.4493927125506072,25.670715249662617,4718,0.9040130151843818
/digitalisering/,2078,1577,1.3176918199112237,27.147748890298033,4502,0.9420448332422089
/sektorer/vand/,1930,1015,1.9014778325123152,46.675862068965515,4506,0.9141414141414141
/sektorer/miljoe/,1922,1179,1.63019508057676,48.56997455470738,4484,0.9175531914893617
/om-niras/ledelsen/,1882,1170,1.6085470085470086,46.00769230769231,4901,0.8005181347150259
/nyheder/niras-ramt-af-tragisk-ulykke/,1811,1325,1.3667924528301887,30.86943396226415,4910,0.6972477064220184
/kontorer/danmark/aarhus/,1772,1303,1.3599386032233307,34.68917881811205,5385,0.826332288401254
/kontorer/danmark/alleroed/,1707,1334,1.2796101949025487,20.213643178410795,5791,0.7702786377708978
/podcast/,1648,687,2.398835516739447,28.349344978165938,4483,0.47715404699738906
/karriere/moed-en-medarbejder/,1508,1048,1.4389312977099236,46.982824427480914,4358,0.8713355048859935
/karriere/studerende/vil-du-vaere-praktikant-i-niras/,1447,830,1.7433734939759036,38.36506024096386,4342,0.6719538572458543
/sektorer/pharma-life-science/,1262,795,1.5874213836477988,50.32201257861635,3095,0.8660098522167488
/arrangementer/temadag-i-vest-udledning-og-rensning-af-regnvand/,1188,458,2.593886462882096,82.50873362445415,2909,0.620616365568544
/sektorer/energi/,1187,764,1.5536649214659686,49.24476439790576,2678,0.937365010799136
/arrangementer/grundvandsbeskyttelse-og-groen-trepart/,1182,535,2.209345794392523,57.6392523364486,2978,0.8033635187580854
/sektorer/infrastruktur/,1151,780,1.4756410256410257,41.56410256410256,2508,0.9019607843137255
/kontorer/danmark/aalborg/,1102,796,1.3844221105527639,23.805276381909547,3521,0.8436213991769548
/karriere/karriere-i-byggeri/,1091,867,1.2583621683967705,27.606689734717417,2435,0.8979007633587787
/sektorer/data-digitalisering/webgis-kortinfo/,1087,708,1.5353107344632768,30.060734463276837,3446,0.6720257234726688
/preboarding,1049,329,3.188449848024316,64.30091185410335,3167,0.6910299003322259
/nyheder/hold-din-elregning-i-kort-snor-med-hverdags-data-science/,1038,535,1.9401869158878504,65.1177570093458,3301,0.5391812865497077
/projekter/nyt-koldkrigsmuseum/,1019,840,1.213095238095238,41.54047619047619,3424,0.5701311806256307
/karriere/studerende/,965,625,1.544,25.728,2644,0.7760663507109005
/arrangementer/seminar-bliv-klogere-paa-forholdet-mellem-miljoevurderingsloven-vandramme-og-habitatdirektivet-2025/,913,465,1.9634408602150537,70.21290322580646,2460,0.6133177570093458
/sektorer/data-digitalisering/dkplan/,909,612,1.4852941176470589,27.836601307189543,2993,0.6366995073891626
/projekter/klimatilpasning-af-groenningen-bispeparken/,871,495,1.7595959595959596,65.16767676767677,2487,0.6574440052700923
/projekter/grundfos-bygger-nyt-ikon-hovedkvarter-i-bjerringbro/,815,617,1.320907617504052,43.79578606158833,2711,0.5822002472187886
/arrangementer/temadag-i-oest-udledning-og-rensning-af-regnvand/,785,315,2.492063492063492,68.60952380952381,1954,0.6183206106870229
/projekter/akson-business-tower-110-meter-hoejt-kontorbyggeri-i-centrum-for-sydhavnskvarteret-i-aarhus/,775,634,1.222397476340694,47.36435331230284,2549,0.6819371727748691
/sektorer/planlaegning-mobilitet/,763,469,1.626865671641791,41.6183368869936,1792,0.8862478777589134
/sektorer/data-digitalisering/,758,433,1.7505773672055427,34.08083140877598,1682,0.9193548387096774
/indsigt/,720,289,2.491349480968858,31.993079584775085,1489,0.8886679920477137
/arrangementer/gratis-webinar-hoer-seneste-nyt-fra-regeringens-videnstaskforce-for-pfas/,713,430,1.658139534883721,40.551162790697674,1923,0.75
/arrangementer/ce-maerkning/,702,444,1.5810810810810811,42.3536036036036,2218,0.5322862129144852
/arrangementer/hvordan-vaelger-vi-den-bedste-rensemetode-til-regnvandet/,692,330,2.096969696969697,42.7939393939394,1622,0.7995642701525054
/ufd/,691,391,1.7672634271099745,52.57800511508952,2280,0.6794258373205742
/karriere/karriere-i-energi/,689,559,1.2325581395348837,19.57602862254025,1637,0.8310291858678955
